code,location,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
553701,BaËalky,133,98,97,12,0,0,5,0,5,9,1,5,1,0,0,14,0,4,34,0,1,1,0,0,0,5,0
572667,Baönice,170,116,115,8,0,0,5,0,8,7,0,1,0,0,0,4,0,2,59,0,0,7,2,0,0,12,0
572675,BÏchary,230,98,96,4,0,0,10,0,3,3,0,3,1,0,0,7,0,0,42,0,0,6,0,0,0,17,0
548901,BÌlsko u Ho¯ic,98,75,75,8,0,0,5,0,6,0,2,0,0,0,0,12,0,5,30,0,0,1,0,0,1,5,0
572705,Boh·Úka,188,139,139,26,0,0,5,0,18,20,1,1,5,0,0,6,0,10,28,0,0,4,1,0,1,13,0
548979,Borek,85,55,55,6,0,1,2,0,11,0,1,0,1,0,0,7,0,5,15,0,0,3,0,0,0,3,0
549100,Brada-RybnÌËek,120,82,82,14,0,0,2,1,9,0,2,0,0,0,0,12,0,7,26,0,0,3,1,0,0,4,1
549070,B¯ezina,85,57,56,8,0,1,0,0,5,2,0,2,1,0,0,7,0,3,14,0,0,4,0,0,0,8,1
548855,B¯Ìöùany,202,122,118,9,0,0,14,1,4,8,0,5,0,0,0,11,0,1,44,0,0,5,1,0,1,14,0
548952,BudËeves,130,58,57,3,0,0,9,0,0,10,0,1,0,0,0,2,0,1,25,0,0,1,0,0,0,5,0
573353,Bukvice,124,88,88,4,0,0,7,1,6,6,2,0,2,0,0,8,0,0,43,0,0,0,0,0,0,9,0
549282,Butoves,206,128,127,13,0,1,12,0,11,23,3,1,5,0,0,9,0,8,28,0,0,2,2,0,1,8,0
572772,Byst¯ice,275,152,149,12,2,0,17,1,4,12,3,1,0,0,0,12,1,2,58,0,2,9,0,1,1,11,0
572781,Cerekvice nad Byst¯icÌ,620,355,355,20,0,5,22,0,17,34,4,1,22,1,0,33,0,10,123,0,3,14,4,0,0,42,0
548995,»erven· T¯emeön·,126,87,87,5,1,0,3,0,16,8,1,0,2,0,0,5,0,10,24,0,0,3,0,0,0,9,0
572811,»eöov,188,132,131,4,0,0,18,0,4,15,1,2,6,0,0,14,0,0,46,0,0,6,0,0,0,15,0
572829,DÏtenice,621,367,366,30,0,0,26,0,26,41,4,9,5,2,0,26,1,17,120,1,2,13,5,0,0,36,2
549118,DÌlce,43,37,35,2,0,0,0,0,4,2,0,1,2,0,0,1,0,2,14,0,0,0,0,0,0,7,0
572837,Dobr· Voda u Ho¯ic,467,296,293,25,2,0,15,0,13,15,6,3,3,1,0,40,0,5,110,1,1,10,1,0,1,39,2
549088,DolnÌ Lochov,34,24,23,8,0,0,0,0,1,3,0,0,0,0,0,2,1,0,6,0,0,1,0,0,0,1,0
573337,D¯evÏnice,187,125,124,18,0,0,7,0,10,8,2,4,1,1,1,14,1,3,38,0,0,9,1,0,0,5,1
572900,HolÌn,475,354,350,51,1,0,24,2,30,16,5,5,1,0,0,62,0,26,96,1,2,17,1,1,0,8,1
572918,Holovousy,421,291,289,27,0,0,22,0,26,21,2,1,3,0,1,40,0,13,83,0,1,23,1,0,0,22,3
572926,Ho¯ice,6†867,4†383,4†345,458,8,7,267,8,259,267,74,31,54,2,6,524,3,214,1†472,8,4,192,73,3,14,387,10
549355,Cholenice,185,84,83,5,0,0,10,0,1,8,0,0,1,0,0,8,0,3,27,0,1,1,0,3,0,15,0
572969,Chomutice,527,285,283,13,1,0,18,0,21,36,2,3,1,0,1,21,0,8,112,0,0,12,2,4,0,28,0
549037,ChoteË,162,115,115,22,0,0,2,0,7,3,1,0,1,0,0,10,0,12,34,0,0,7,1,0,0,15,0
549223,Chyjice,131,74,73,11,0,0,8,0,8,3,0,1,0,0,0,3,0,1,22,0,0,7,0,0,1,8,0
572993,Je¯ice,312,198,197,13,0,0,14,0,16,11,1,4,6,0,1,13,0,4,80,1,3,5,3,0,1,21,0
572659,JiËÌn,12†769,8†019,7†956,944,27,13,526,7,452,589,108,69,99,10,11,1†056,1,373,2†544,9,22,407,68,7,7,574,33
573001,JiËÌnÏves,492,240,240,25,1,0,21,0,6,29,1,3,0,0,0,32,0,8,71,1,0,9,2,0,0,29,2
549151,Jinolice,153,120,120,10,0,0,2,0,8,6,1,1,6,1,0,13,0,2,44,0,1,6,0,0,0,18,1
549312,Kac·kova Lhota,132,80,80,5,0,0,6,0,4,9,2,1,0,0,0,9,0,2,30,1,0,4,1,0,1,5,0
549169,Kbelnice,172,124,124,19,0,0,5,0,5,13,4,2,0,0,0,24,0,6,33,0,0,2,1,0,1,7,2
573043,KnÏûnice,220,141,138,14,0,0,11,1,9,10,2,1,1,0,1,17,0,3,41,0,0,8,3,0,0,15,1
573051,KonecchlumÌ,295,192,189,16,0,0,13,0,19,18,2,1,0,1,0,18,1,15,66,0,2,7,0,0,0,10,0
573060,Kopidlno,1†726,842,835,49,3,0,116,0,24,60,8,5,6,1,0,61,0,24,325,3,4,39,5,9,0,88,5
548928,Kostelec,30,21,21,3,0,0,3,0,0,0,0,0,5,0,0,1,0,1,4,0,0,0,0,0,0,4,0
548944,KovaË,107,74,74,4,0,0,6,1,11,1,1,0,2,0,0,2,0,4,40,0,1,0,1,0,0,0,0
572136,Kozojedy,158,60,60,11,0,0,4,0,3,3,2,0,0,0,0,1,0,0,25,0,0,2,0,0,0,9,0
572047,Kyje,49,30,30,2,0,0,3,0,7,1,0,0,0,0,0,4,0,0,9,0,0,1,0,0,0,3,0
573094,L·znÏ BÏlohrad,3†075,1†974,1†960,232,4,2,136,0,179,111,22,20,37,6,0,208,2,91,625,5,6,103,8,2,5,154,2
573108,Lib·Ú,1†397,742,733,80,1,0,32,0,41,69,4,6,6,0,0,50,0,40,317,1,2,12,1,0,0,70,1
573116,Liboöovice,415,284,283,36,1,0,11,0,27,26,0,6,4,0,0,29,0,15,98,1,1,3,0,0,1,23,1
573124,LibuÚ,660,412,409,39,1,4,21,1,49,31,4,5,5,0,1,55,0,12,139,0,1,13,1,0,1,26,0
573086,LÌskovice,172,110,107,10,0,0,9,0,4,6,2,2,0,0,0,16,0,1,41,0,2,3,1,0,0,10,0
573141,Lukavec u Ho¯ic,230,156,153,21,0,0,14,0,12,14,1,2,0,0,0,16,0,4,41,0,0,8,3,1,1,15,0
573159,Luûany,489,327,323,40,0,0,30,0,25,28,3,4,4,1,1,35,0,8,111,0,1,9,2,0,0,21,0
573167,Markvartice,396,238,238,8,1,0,22,0,9,20,7,6,8,0,0,25,0,7,79,1,2,9,1,0,1,30,2
573175,MiletÌn,733,492,490,40,1,0,27,0,115,27,6,2,6,0,2,50,0,18,142,2,0,19,4,0,0,28,1
548863,Milovice u Ho¯ic,217,151,148,7,0,0,7,0,16,9,3,2,0,1,0,24,0,9,46,0,0,5,1,0,0,17,1
573205,MladÏjov,432,279,274,16,0,1,20,0,9,26,8,16,1,0,0,18,0,8,94,0,0,14,4,1,0,36,2
573213,Ml·zovice,474,286,285,25,1,0,27,0,31,27,5,0,7,1,1,15,3,8,103,0,1,13,3,0,1,11,2
573230,NemyËeves,258,143,141,3,4,0,18,0,4,12,0,1,0,0,0,9,0,1,62,0,0,5,1,0,2,19,0
549207,Nevratice,128,77,76,6,0,0,1,0,7,6,0,0,2,0,0,13,0,5,33,0,0,0,0,0,0,3,0
573248,Nov· Paka,7†471,4†886,4†846,491,7,5,305,4,809,294,52,30,77,1,1,595,3,138,1†301,6,6,197,17,7,9,479,12
549185,Oha¯ice,55,35,35,2,0,0,0,0,2,3,1,0,0,0,0,8,0,0,13,0,1,1,1,1,0,2,0
548910,OhaveË,65,45,45,4,0,0,3,0,3,2,2,0,0,0,0,6,0,4,20,0,0,1,0,0,0,0,0
573264,Osek,174,110,109,10,1,0,7,0,10,5,5,5,2,0,0,13,0,3,40,1,1,2,0,0,0,4,0
573272,OstromÏ¯,1†098,674,668,88,0,0,44,0,47,47,4,6,14,0,3,76,1,18,241,0,1,19,5,1,0,48,5
573281,Ostruûno,81,46,46,1,0,0,6,0,4,2,0,1,1,0,0,1,0,0,24,0,0,1,0,0,0,5,0
573299,Pecka,1†063,686,683,75,3,3,45,0,100,37,2,4,9,3,0,61,1,18,223,0,1,33,4,0,2,59,0
548871,PetroviËky,36,27,27,3,0,0,4,0,1,3,0,2,0,0,0,0,0,3,6,0,0,2,0,0,0,3,0
573311,PodhornÌ ⁄jezd a Vojice,539,350,348,47,1,1,25,1,23,23,2,4,4,0,1,32,0,21,112,0,0,7,6,1,0,37,0
573329,PodhradÌ,370,233,231,17,0,0,20,0,12,28,3,1,3,0,0,29,1,8,89,0,2,1,2,0,0,14,1
573345,Pod˘löÌ,211,149,149,15,0,0,7,0,10,8,0,0,2,0,0,15,0,13,57,1,1,12,1,0,0,7,0
573370,Radim,351,232,230,29,1,0,12,0,34,15,1,3,3,1,0,24,0,4,67,0,0,8,2,3,2,21,0
549274,RaöÌn,67,43,43,4,0,0,2,0,1,2,0,0,1,0,1,6,0,5,11,0,0,1,2,0,0,7,0
573221,Rohoznice,255,192,191,13,0,0,17,0,45,9,0,1,2,0,0,17,0,4,69,0,0,7,0,0,0,6,1
548898,RokytÚany,82,44,42,3,0,0,4,0,1,1,0,0,0,0,0,1,0,3,23,0,1,2,0,0,0,3,0
573442,Samöina,220,129,129,15,2,0,4,0,12,13,0,5,1,0,0,13,0,5,32,0,0,5,1,0,1,19,1
573451,SbÏ¯,207,110,110,6,0,0,10,0,6,18,1,1,1,0,0,6,1,3,33,1,0,6,0,0,0,17,0
548961,SedliötÏ,89,66,63,3,0,0,6,0,7,8,0,3,0,0,0,3,0,4,17,0,0,4,1,0,0,6,1
572144,Seke¯ice,102,89,88,9,0,1,3,0,1,7,1,2,1,0,0,4,0,2,46,1,1,1,2,0,0,6,0
573469,Slatiny,452,240,235,13,0,3,27,0,29,17,3,2,1,1,0,21,0,4,75,1,0,13,0,1,2,15,7
572187,Slavhostice,109,53,53,0,3,0,4,1,3,11,0,0,0,0,0,3,0,1,13,0,0,1,0,1,0,11,1
573477,SobËice,238,170,169,30,0,0,17,0,4,6,1,1,4,0,0,11,0,7,64,0,1,6,2,0,1,14,0
573361,SobÏraz,92,62,60,11,0,0,1,0,9,1,0,2,1,0,0,13,0,2,18,1,0,0,1,0,0,0,0
573493,Sobotka,1†930,1†198,1†188,108,0,0,74,0,71,81,21,19,14,0,2,137,0,112,385,0,2,56,8,3,1,93,1
573507,Star· Paka,1†659,1†080,1†071,142,1,5,56,1,70,79,9,14,21,2,0,127,0,19,336,2,0,71,1,3,2,106,4
530735,StarÈ Hrady,150,111,110,21,0,0,5,0,4,9,1,2,0,0,0,6,0,8,36,1,0,2,1,0,0,14,0
549096,StarÈ MÌsto,258,140,140,12,0,0,4,0,7,14,0,1,0,0,1,14,0,8,47,0,5,3,1,0,0,23,0
573523,StarÈ Smrkovice,210,97,96,2,1,1,6,0,2,11,0,2,1,0,0,13,0,1,40,0,0,0,1,0,1,14,0
573540,St¯evaË,238,108,108,6,2,0,8,0,6,6,4,4,0,0,0,8,0,3,44,0,0,5,1,0,0,10,1
548880,Sukorady,178,130,130,7,0,0,7,0,8,16,0,0,2,0,0,12,0,4,61,0,0,5,2,0,1,4,1
573302,Svatojansk˝ ⁄jezd,73,48,47,5,0,0,2,0,5,3,0,0,1,0,0,6,0,0,10,0,0,11,0,0,0,3,1
573256,ä·rovcova Lhota,167,105,105,8,1,0,2,0,11,9,5,0,4,0,0,13,0,5,31,0,1,4,1,1,0,9,0
572756,TetÌn,127,76,76,6,0,0,2,0,20,4,1,0,2,0,0,5,0,1,19,0,0,8,0,0,0,7,1
573612,T¯ebnouöeves,239,145,145,19,0,0,6,0,9,15,2,2,0,0,0,16,0,6,53,0,0,1,0,0,1,15,0
573639,T¯tÏnice,269,162,162,10,0,0,14,0,10,12,0,2,2,0,1,10,0,8,66,0,2,3,0,0,2,20,0
573647,Tu¯,137,80,79,6,0,0,8,0,8,6,2,1,2,0,0,4,0,2,24,0,1,0,0,1,0,14,0
573655,⁄bislavice,341,252,249,10,0,0,15,1,31,20,4,0,0,0,0,27,2,13,76,1,2,14,3,0,0,29,1
573663,⁄drnice,249,152,152,15,0,0,12,0,8,15,2,3,0,1,0,17,0,3,49,0,1,7,0,2,0,17,0
573671,⁄hlejov,118,80,80,9,0,2,6,0,15,12,1,0,2,0,0,5,0,3,12,0,0,4,0,0,0,9,0
573680,⁄jezd pod Troskami,273,182,181,12,0,0,8,0,17,18,2,7,3,0,0,29,0,5,48,1,0,5,0,2,1,21,2
573698,⁄libice,222,133,130,7,0,0,15,1,8,11,5,2,1,0,0,8,2,8,49,0,0,3,2,0,0,8,0
573701,Valdice,1†844,1†099,1†092,67,2,2,82,5,30,135,13,18,6,1,2,116,0,26,452,1,3,43,3,3,8,69,5
573728,Veliö,153,100,99,9,0,0,8,0,7,1,1,0,0,0,1,13,2,9,40,0,0,3,0,0,0,4,1
573736,Vidochov,295,179,179,16,1,0,6,1,19,10,3,2,5,0,0,26,0,6,58,0,0,3,3,0,5,15,0
573752,VitinÏves,277,201,201,18,2,0,9,0,9,23,1,2,0,0,0,18,0,6,70,1,4,12,3,1,0,19,3
573761,Volanice,186,101,99,8,1,0,4,0,4,13,0,0,0,0,0,5,0,6,49,0,0,2,1,0,1,5,0
572128,Vrbice,119,75,74,1,2,0,8,0,9,11,1,1,3,1,0,8,0,2,20,0,0,1,0,0,0,5,1
573795,Vröce,177,87,87,6,0,0,3,0,3,20,0,2,0,0,0,10,0,2,27,0,1,1,0,0,1,11,0
549029,V¯esnÌk,73,49,49,4,0,0,0,0,11,6,0,0,2,0,0,2,0,1,20,0,0,2,0,0,0,1,0
573809,VysokÈ VeselÌ,694,336,336,27,13,1,24,0,14,46,2,4,4,0,0,19,0,13,116,1,3,11,2,0,1,35,0
549193,Z·mostÌ-Blata,101,69,67,11,0,0,1,0,3,1,1,1,0,0,0,4,0,18,21,0,0,4,0,0,0,2,0
573183,Zeleneck· Lhota,130,78,77,1,0,0,2,2,3,10,2,0,0,0,0,14,0,3,26,0,2,2,0,0,0,9,1
573825,éeleznice,985,651,649,32,0,2,24,0,136,47,2,10,2,1,0,72,1,19,203,0,2,34,1,0,0,57,4
573833,éeretice,211,120,120,2,0,0,14,0,3,17,4,2,2,0,0,13,0,4,43,0,0,2,0,1,1,12,0
573841,éidovice,101,51,51,2,0,0,7,0,6,6,0,2,1,0,0,1,0,0,20,0,0,1,1,0,1,3,0
573850,élunice,210,142,141,15,0,0,19,0,9,14,2,0,0,0,0,14,0,1,41,0,0,10,2,0,2,12,0
